[163.983, 1649]
[164.368, 1645]
[164.753, 1647]
[165.137, 1637]
[165.522, 1646]
[165.907, 1642]
[166.291, 1634]
[166.676, 1647]
[167.061, 1647]
[167.445, 1645]
[167.83, 1644]
[168.215, 1649]
[168.6, 1647]
[168.984, 1648]
[169.369, 1640]
[169.754, 1643]
[170.139, 1644]
[170.524, 1640]
[170.908, 1642]
[171.293, 1651]
[171.678, 1650]
[172.063, 1653]
[172.448, 1647]
[172.833, 1649]
[173.218, 1641]
[173.602, 1642]
[173.987, 1641]
[174.372, 1643]
[174.757, 1639]
[175.142, 1647]
[175.527, 1648]
[175.912, 1645]
[176.297, 1649]
[176.682, 1653]
[177.067, 1644]
[177.452, 1642]
[177.837, 1644]
[178.222, 1637]
[178.607, 1641]
[178.992, 1642]
[179.377, 1643]
[179.763, 1646]
[180.148, 1647]
[180.533, 1649]
[180.918, 1639]
[181.303, 1643]
[181.688, 1641]
[182.073, 1647]
[182.459, 1648]
[182.844, 1642]
[183.229, 1644]
[183.614, 1652]
[183.999, 1651]
[184.385, 1649]
[184.77, 1651]
[185.155, 1644]
[185.54, 1643]
[185.926, 1641]
[186.311, 1642]
[186.696, 1650]
[187.082, 1652]
[187.467, 1643]
[187.852, 1650]
[188.238, 1655]
[188.623, 1641]
[189.009, 1650]
[189.394, 1645]
[189.779, 1643]
[190.165, 1644]
[190.55, 1645]
[190.936, 1646]
[191.321, 1650]
[191.707, 1645]
[192.092, 1641]
[192.478, 1644]
[192.863, 1648]
[193.249, 1646]
[193.634, 1641]
[194.02, 1647]
[194.405, 1648]
[194.791, 1652]
[195.176, 1655]
[195.562, 1645]
[195.947, 1649]
[196.333, 1643]
[196.719, 1643]
[197.104, 1648]
[197.49, 1653]
[197.876, 1647]
[198.261, 1648]
[198.647, 1649]
[199.033, 1651]
[199.418, 1642]
[199.804, 1648]
[200.19, 1646]
[200.576, 1642]
[200.961, 1648]
[201.347, 1649]
[201.733, 1648]
[202.119, 1655]
[202.505, 1643]
[202.89, 1650]
[203.276, 1642]
[203.662, 1645]
[204.048, 1647]
[204.434, 1651]
[204.82, 1648]
[205.205, 1653]
[205.591, 1648]
[205.977, 1649]
[206.363, 1651]
[206.749, 1644]
[207.135, 1644]
[207.521, 1648]
[207.907, 1650]
[208.293, 1649]
[208.679, 1653]
[209.065, 1650]
[209.451, 1654]
[209.837, 1642]
[210.223, 1648]
[210.609, 1648]
[210.995, 1647]
[211.381, 1654]
[211.767, 1651]
[212.153, 1649]
[212.54, 1649]
[212.926, 1645]
[213.312, 1645]
