[163.983, 1675]
[164.368, 1677]
[164.753, 1677]
[165.137, 1671]
[165.522, 1668]
[165.907, 1669]
[166.291, 1660]
[166.676, 1674]
[167.061, 1674]
[167.445, 1664]
[167.83, 1670]
[168.215, 1670]
[168.6, 1671]
[168.984, 1681]
[169.369, 1679]
[169.754, 1675]
[170.139, 1676]
[170.524, 1675]
[170.908, 1673]
[171.293, 1668]
[171.678, 1673]
[172.063, 1673]
[172.448, 1667]
[172.833, 1668]
[173.218, 1668]
[173.602, 1668]
[173.987, 1673]
[174.372, 1668]
[174.757, 1680]
[175.142, 1674]
[175.527, 1671]
[175.912, 1680]
[176.297, 1677]
[176.682, 1667]
[177.067, 1675]
[177.452, 1674]
[177.837, 1669]
[178.222, 1664]
[178.607, 1666]
[178.992, 1666]
[179.377, 1677]
[179.763, 1677]
[180.148, 1677]
[180.533, 1677]
[180.918, 1672]
[181.303, 1671]
[181.688, 1674]
[182.073, 1671]
[182.459, 1668]
[182.844, 1669]
[183.229, 1668]
[183.614, 1672]
[183.999, 1672]
[184.385, 1674]
[184.77, 1674]
[185.155, 1679]
[185.54, 1679]
[185.926, 1675]
[186.311, 1671]
[186.696, 1673]
[187.082, 1663]
[187.467, 1673]
[187.852, 1675]
[188.238, 1668]
[188.623, 1665]
[189.009, 1673]
[189.394, 1673]
[189.779, 1672]
[190.165, 1668]
[190.55, 1676]
[190.936, 1681]
[191.321, 1681]
[191.707, 1675]
[192.092, 1668]
[192.478, 1669]
[192.863, 1674]
[193.249, 1669]
[193.634, 1670]
[194.02, 1674]
[194.405, 1672]
[194.791, 1677]
[195.176, 1671]
[195.562, 1677]
[195.947, 1685]
[196.333, 1685]
[196.719, 1669]
[197.104, 1671]
[197.49, 1679]
[197.876, 1667]
[198.261, 1671]
[198.647, 1673]
[199.033, 1679]
[199.418, 1673]
[199.804, 1667]
[200.19, 1675]
[200.576, 1680]
[200.961, 1672]
[201.347, 1669]
[201.733, 1667]
[202.119, 1673]
[202.505, 1674]
[202.89, 1680]
[203.276, 1679]
[203.662, 1675]
[204.048, 1683]
[204.434, 1681]
[204.82, 1678]
[205.205, 1668]
[205.591, 1677]
[205.977, 1676]
[206.363, 1674]
[206.749, 1674]
[207.135, 1675]
[207.521, 1680]
[207.907, 1676]
[208.293, 1676]
[208.679, 1674]
[209.065, 1666]
[209.451, 1674]
[209.837, 1671]
[210.223, 1677]
[210.609, 1669]
[210.995, 1679]
[211.381, 1681]
[211.767, 1678]
[212.153, 1677]
[212.54, 1679]
[212.926, 1675]
[213.312, 1672]
[213.698, 1677]
[214.084, 1670]
[214.47, 1672]
[214.857, 1672]
[215.243, 1684]
[215.629, 1673]
[216.015, 1689]
[216.401, 1682]
[216.788, 1678]
[217.174, 1681]
[217.56, 1671]
[217.946, 1671]
[218.333, 1680]
[218.719, 1686]
[219.105, 1677]
[219.492, 1679]
[219.878, 1687]
[220.264, 1677]
[220.651, 1684]
[221.037, 1675]
[221.424, 1681]
[221.81, 1684]
[222.196, 1691]
[222.583, 1689]
[222.969, 1683]
[223.356, 1691]
[223.742, 1689]
[224.129, 1697]
[224.515, 1685]
[224.902, 1687]
[225.288, 1677]
[225.675, 1692]
[226.061, 1690]
[226.448, 1687]
[226.834, 1686]
[227.221, 1693]
[227.607, 1687]
[227.994, 1691]
[228.381, 1689]
[228.767, 1685]
[229.154, 1691]
[229.541, 1681]
[229.927, 1692]
[230.314, 1689]
[230.701, 1687]
[231.087, 1695]
[231.474, 1696]
[231.861, 1690]
[232.247, 1698]
[232.634, 1685]
[233.021, 1677]
[233.408, 1688]
[233.794, 1695]
[234.181, 1689]
[234.568, 1686]
[234.955, 1688]
[235.342, 1683]
[235.729, 1683]
[236.115, 1684]
[236.502, 1686]
[236.889, 1696]
[237.276, 1694]
[237.663, 1690]
[238.05, 1692]
[238.437, 1698]
[238.824, 1690]
[239.211, 1683]
[239.598, 1685]
[239.985, 1688]
[240.372, 1683]
[240.759, 1685]
[241.146, 1683]
[241.533, 1684]
[241.92, 1691]
[242.307, 1683]
[242.694, 1692]
[243.081, 1686]
[243.468, 1683]
[243.855, 1684]
[244.242, 1686]
[244.629, 1682]
[245.016, 1678]
[245.403, 1689]
[245.791, 1686]
[246.178, 1683]
[246.565, 1695]
[246.952, 1689]
[247.339, 1689]
[247.727, 1695]
[248.114, 1690]
[248.501, 1695]
[248.888, 1695]
[249.276, 1685]
[249.663, 1685]
[250.05, 1684]
[250.437, 1686]
[250.825, 1679]
[251.212, 1687]
[251.599, 1681]
[251.987, 1686]
[252.374, 1693]
[252.761, 1686]
[253.149, 1680]
[253.536, 1684]
[253.924, 1674]
[254.311, 1682]
[254.698, 1678]
[255.086, 1690]
[255.473, 1691]
[255.861, 1693]
[256.248, 1692]
[256.636, 1694]
[257.023, 1686]
[257.411, 1690]
[257.798, 1686]
[258.186, 1683]
[258.573, 1691]
[258.961, 1693]
[259.349, 1680]
[259.736, 1683]
[260.124, 1689]
[260.511, 1694]
[260.899, 1700]
[261.287, 1688]
[261.674, 1687]
[262.062, 1680]
[262.45, 1677]
[262.837, 1681]
[263.225, 1682]
[263.613, 1683]
[264.001, 1682]
[264.388, 1701]
[264.776, 1685]
[265.164, 1685]
[265.552, 1682]
[265.939, 1681]
[266.327, 1677]
[266.715, 1685]
[267.103, 1682]
[267.491, 1686]
[267.878, 1680]
[268.266, 1682]
[268.654, 1695]
[269.042, 1691]
[269.43, 1688]
[269.818, 1687]
[270.206, 1680]
[270.594, 1681]
[270.982, 1689]
[271.37, 1678]
[271.758, 1674]
[272.146, 1683]
[272.534, 1689]
[272.922, 1687]
[273.31, 1694]
[273.698, 1689]
[274.086, 1693]
[274.474, 1687]
[274.862, 1684]
[275.25, 1680]
[275.638, 1680]
[276.026, 1676]
[276.414, 1674]
[276.802, 1682]
[277.19, 1685]
[277.579, 1687]
[277.967, 1695]
[278.355, 1683]
[278.743, 1688]
[279.131, 1693]
[279.519, 1683]
[279.908, 1684]
[280.296, 1691]
[280.684, 1679]
[281.072, 1679]
[281.461, 1687]
[281.849, 1689]
[282.237, 1687]
[282.626, 1687]
[283.014, 1680]
[283.402, 1688]
[283.791, 1682]
[284.179, 1678]
[284.567, 1682]
[284.956, 1680]
[285.344, 1679]
[285.733, 1690]
[286.121, 1686]
[286.509, 1689]
[286.898, 1691]
[287.286, 1689]
[287.675, 1694]
[288.063, 1691]
[288.452, 1684]
[288.84, 1686]
[289.229, 1689]
[289.617, 1676]
[290.006, 1676]
[290.394, 1686]
[290.783, 1682]
[291.172, 1689]
[291.56, 1698]
[291.949, 1685]
[292.337, 1695]
[292.726, 1693]
[293.115, 1683]
[293.503, 1687]
[293.892, 1675]
[294.281, 1675]
[294.669, 1682]
[295.058, 1680]
[295.447, 1687]
[295.835, 1685]
[296.224, 1691]
[296.613, 1686]
[297.002, 1684]
[297.391, 1694]
[297.779, 1685]
[298.168, 1689]
[298.557, 1671]
[298.946, 1682]
[299.335, 1677]
[299.723, 1685]
[300.112, 1677]
[300.501, 1689]
[300.89, 1693]
[301.279, 1683]
[301.668, 1684]
[302.057, 1692]
[302.446, 1688]
[302.835, 1686]
[303.224, 1684]
[303.613, 1678]
[304.002, 1688]
[304.391, 1686]
[304.78, 1685]
[305.169, 1679]
[305.558, 1683]
[305.947, 1689]
[306.336, 1677]
[306.725, 1687]
[307.114, 1683]
[307.503, 1682]
[307.892, 1684]
[308.281, 1684]
[308.67, 1681]
[309.06, 1674]
[309.449, 1692]
[309.838, 1689]
[310.227, 1689]
[310.616, 1687]
[311.005, 1690]
[311.395, 1685]
