[163.983, 1663]
[164.368, 1668]
[164.753, 1666]
[165.137, 1659]
[165.522, 1666]
[165.907, 1659]
[166.291, 1672]
[166.676, 1663]
[167.061, 1654]
[167.445, 1661]
[167.83, 1671]
[168.215, 1664]
[168.6, 1664]
[168.984, 1667]
[169.369, 1664]
[169.754, 1673]
[170.139, 1670]
[170.524, 1670]
[170.908, 1667]
[171.293, 1665]
[171.678, 1675]
[172.063, 1671]
[172.448, 1660]
[172.833, 1665]
[173.218, 1667]
[173.602, 1662]
[173.987, 1669]
[174.372, 1664]
[174.757, 1666]
[175.142, 1673]
[175.527, 1667]
[175.912, 1660]
[176.297, 1668]
[176.682, 1665]
[177.067, 1673]
[177.452, 1667]
[177.837, 1665]
[178.222, 1668]
[178.607, 1664]
[178.992, 1661]
[179.377, 1667]
[179.763, 1666]
[180.148, 1662]
[180.533, 1676]
[180.918, 1663]
[181.303, 1661]
[181.688, 1663]
[182.073, 1667]
[182.459, 1669]
[182.844, 1674]
[183.229, 1664]
[183.614, 1666]
[183.999, 1680]
[184.385, 1664]
[184.77, 1671]
[185.155, 1668]
[185.54, 1671]
[185.926, 1673]
[186.311, 1667]
[186.696, 1664]
[187.082, 1662]
[187.467, 1665]
[187.852, 1666]
[188.238, 1667]
[188.623, 1666]
[189.009, 1671]
[189.394, 1664]
[189.779, 1669]
[190.165, 1675]
[190.55, 1660]
[190.936, 1667]
[191.321, 1675]
[191.707, 1659]
[192.092, 1658]
[192.478, 1664]
[192.863, 1670]
[193.249, 1668]
[193.634, 1670]
[194.02, 1671]
[194.405, 1667]
[194.791, 1667]
[195.176, 1671]
[195.562, 1661]
[195.947, 1660]
[196.333, 1664]
[196.719, 1668]
[197.104, 1667]
[197.49, 1668]
[197.876, 1670]
[198.261, 1675]
[198.647, 1670]
[199.033, 1665]
[199.418, 1663]
[199.804, 1673]
[200.19, 1670]
[200.576, 1669]
[200.961, 1662]
[201.347, 1656]
[201.733, 1675]
[202.119, 1663]
[202.505, 1675]
[202.89, 1658]
[203.276, 1665]
[203.662, 1669]
[204.048, 1663]
[204.434, 1661]
[204.82, 1662]
[205.205, 1677]
[205.591, 1672]
[205.977, 1667]
[206.363, 1664]
[206.749, 1661]
[207.135, 1667]
[207.521, 1675]
[207.907, 1665]
[208.293, 1661]
[208.679, 1660]
[209.065, 1669]
[209.451, 1673]
[209.837, 1666]
[210.223, 1658]
[210.609, 1677]
[210.995, 1680]
[211.381, 1666]
[211.767, 1666]
[212.153, 1666]
[212.54, 1677]
[212.926, 1669]
[213.312, 1670]
[213.698, 1666]
[214.084, 1670]
[214.47, 1675]
[214.857, 1663]
[215.243, 1668]
[215.629, 1668]
[216.015, 1664]
[216.401, 1669]
[216.788, 1671]
[217.174, 1666]
[217.56, 1671]
[217.946, 1671]
[218.333, 1672]
[218.719, 1671]
[219.105, 1667]
[219.492, 1677]
[219.878, 1674]
[220.264, 1668]
[220.651, 1680]
[221.037, 1679]
[221.424, 1681]
[221.81, 1679]
[222.196, 1674]
[222.583, 1681]
[222.969, 1681]
[223.356, 1679]
[223.742, 1676]
[224.129, 1685]
[224.515, 1685]
[224.902, 1693]
[225.288, 1675]
[225.675, 1680]
[226.061, 1683]
[226.448, 1681]
[226.834, 1686]
[227.221, 1675]
[227.607, 1670]
[227.994, 1685]
[228.381, 1678]
[228.767, 1681]
[229.154, 1677]
[229.541, 1684]
[229.927, 1681]
[230.314, 1677]
[230.701, 1670]
[231.087, 1682]
[231.474, 1681]
[231.861, 1678]
[232.247, 1682]
[232.634, 1683]
[233.021, 1687]
[233.408, 1677]
[233.794, 1678]
[234.181, 1681]
[234.568, 1682]
[234.955, 1680]
[235.342, 1680]
[235.729, 1683]
[236.115, 1684]
[236.502, 1684]
[236.889, 1683]
[237.276, 1678]
[237.663, 1689]
[238.05, 1681]
[238.437, 1676]
[238.824, 1680]
[239.211, 1675]
[239.598, 1682]
[239.985, 1687]
[240.372, 1676]
[240.759, 1679]
[241.146, 1677]
[241.533, 1682]
[241.92, 1680]
[242.307, 1680]
[242.694, 1689]
[243.081, 1678]
[243.468, 1676]
[243.855, 1670]
[244.242, 1682]
[244.629, 1687]
[245.016, 1679]
[245.403, 1674]
[245.791, 1676]
[246.178, 1686]
[246.565, 1681]
[246.952, 1676]
[247.339, 1675]
[247.727, 1680]
[248.114, 1679]
[248.501, 1678]
[248.888, 1677]
[249.276, 1685]
[249.663, 1669]
[250.05, 1672]
[250.437, 1682]
[250.825, 1679]
[251.212, 1678]
[251.599, 1679]
[251.987, 1677]
[252.374, 1680]
[252.761, 1684]
[253.149, 1673]
[253.536, 1677]
[253.924, 1681]
[254.311, 1681]
[254.698, 1680]
[255.086, 1681]
[255.473, 1683]
[255.861, 1682]
[256.248, 1677]
[256.636, 1685]
[257.023, 1684]
[257.411, 1678]
[257.798, 1677]
[258.186, 1677]
[258.573, 1680]
[258.961, 1682]
[259.349, 1677]
[259.736, 1680]
[260.124, 1676]
[260.511, 1676]
[260.899, 1682]
[261.287, 1684]
[261.674, 1673]
[262.062, 1680]
[262.45, 1678]
[262.837, 1678]
[263.225, 1678]
[263.613, 1679]
[264.001, 1683]
[264.388, 1680]
[264.776, 1672]
[265.164, 1677]
[265.552, 1680]
[265.939, 1674]
[266.327, 1668]
[266.715, 1682]
[267.103, 1685]
[267.491, 1680]
[267.878, 1677]
[268.266, 1683]
[268.654, 1675]
[269.042, 1676]
[269.43, 1682]
[269.818, 1680]
[270.206, 1675]
[270.594, 1682]
